"","track_id","track_name","plays","date_retrieved"
"57","6lzc0Al0zfZOIFsFvBS1ki","State Of Grace (Taylor's Version)",NA,"Thu Jun  8 14:59:04 2023"
"58","4OAuvHryIVv4kMDNSLuPt6","Red (Taylor's Version)",NA,"Thu Jun  8 14:59:04 2023"
"59","3S7HNKPakdwNEBFIVTL6dZ","Treacherous (Taylor's Version)",NA,"Thu Jun  8 14:59:04 2023"
"60","6AtZLIzUINvExIUy4QhdjP","I Knew You Were Trouble (Taylor's Version)",NA,"Thu Jun  8 14:59:04 2023"
"61","3nsfB1vus2qaloUdcBZvDu","All Too Well (Taylor's Version)",NA,"Thu Jun  8 14:59:04 2023"
"62","3yII7UwgLF6K5zW3xad3MP","22 (Taylor's Version)",NA,"Thu Jun  8 14:59:04 2023"
"63","2r9CbjYgFhtAmcFv1cSquB","I Almost Do (Taylor's Version)",NA,"Thu Jun  8 14:59:04 2023"
"64","5YqltLsjdqFtvqE7Nrysvs","We Are Never Ever Getting Back Together (Taylor's Version)",NA,"Thu Jun  8 14:59:04 2023"
"65","7eQj6r5PIdYKEIZjucBMcq","Stay Stay Stay (Taylor's Version)",NA,"Thu Jun  8 14:59:04 2023"
"66","0y6kdSRCVQhSsHSpWvTUm7","The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version)",NA,"Thu Jun  8 14:59:04 2023"
"67","7J4b3LVCIGO4CMBDFLPoP6","Holy Ground (Taylor's Version)",NA,"Thu Jun  8 14:59:04 2023"
"68","73qMN9bXy7MSPwwGfH3wQr","Sad Beautiful Tragic (Taylor's Version)",NA,"Thu Jun  8 14:59:04 2023"
"69","4e5ayHsOLJNLTGfjau2mEw","The Lucky One (Taylor's Version)",NA,"Thu Jun  8 14:59:04 2023"
"70","7qEUFOVcxRI19tbT68JcYK","Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version)",NA,"Thu Jun  8 14:59:04 2023"
"71","7A2cNLRT0YJc1yjxHlKihs","Starlight (Taylor's Version)",NA,"Thu Jun  8 14:59:04 2023"
"72","05GsNucq8Bngd9fnd4fRa0","Begin Again (Taylor's Version)",NA,"Thu Jun  8 14:59:04 2023"
"73","0NRHj8hDwwmSPaA41o379r","The Moment I Knew (Taylor's Version)",NA,"Thu Jun  8 14:59:04 2023"
"74","4pNApnaUWAL2J4KO2eqokq","Come Back...Be Here (Taylor's Version)",NA,"Thu Jun  8 14:59:04 2023"
"75","0DMVrlMUn01M0IcpDbwgu7","Girl At Home (Taylor's Version)",NA,"Thu Jun  8 14:59:04 2023"
"76","5jAIouBES8LWMiriuNq170","State Of Grace (Acoustic Version) (Taylor's Version)",NA,"Thu Jun  8 14:59:04 2023"
"77","7nWui6jiMM2m9qFmET1Mtj","Ronan (Taylor's Version)",NA,"Thu Jun  8 14:59:04 2023"
"78","4OmFmE0fzcMG6g0Y8p4eSD","Better Man (Taylor's Version) (From The Vault)",NA,"Thu Jun  8 14:59:04 2023"
"79","01K4zKU104LyJ8gMb7227B","Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault)",NA,"Thu Jun  8 14:59:04 2023"
"80","0v4z1tuZvn6LGknom9Qx7d","Babe (Taylor's Version) (From The Vault)",NA,"Thu Jun  8 14:59:04 2023"
"81","3z6XUommYDWPHeFhmhhT6j","Message In A Bottle (Taylor's Version) (From The Vault)",NA,"Thu Jun  8 14:59:04 2023"
"82","4CkgMiMqZ5JzW9iYXSTMTL","I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault)",NA,"Thu Jun  8 14:59:04 2023"
