degree,begin,end,university,university2,city,region,country,honors,gpa,advisor,co-advisor
"PhD, Psychological and Brain Sciences (ABD)",7/1/18,9/30/23,Washington University (WUSTL),,St. Louis,MO,US,Completing dissertation; degree expected Fall 2023,,,
"PhD, Psychological and Brain Sciences (ABD)",7/1/18,9/30/23,Washington University (WUSTL),,St. Louis,MO,US,\textit{Environmental and Linguistic Influences on Preschoolers' Spellings: A Quantitative Exploration of Bad Spellings},,,
"PhD, Psychological and Brain Sciences (ABD)",7/1/18,9/30/23,Washington University (WUSTL),,St. Louis,MO,US,Advisor: Prof. Rebecca Treiman,,,
"PhD, Psychological and Brain Sciences (ABD)",7/1/18,9/30/23,Washington University (WUSTL),,St. Louis,MO,US,Graduate Certificate in Quantitative Analysis,,,
"MA, Psychological and Brain Sciences",7/1/18,8/1/20,WUSTL,,St. Louis,MO,US,Thesis title: \textit{Spelling and Reading Novel Homophones: Testing the Value of Lexical Distinctiveness},,,
"MA, Psychological and Brain Sciences",7/1/18,8/1/20,WUSTL,,St. Louis,MO,US,Advisor: Dr. Rebecca Treiman,,,
"BS, Brain and Cognitive Science",8/2/12,5/14/16,University of Rochester,,Rochester,NY,US,Thesis title: \textit{Words in Isolation: An Analysis and Comparison of the SEEDLingS Corpus},,,
"BS, Brain and Cognitive Science",8/2/12,5/14/16,University of Rochester,,Rochester,NY,US,Advisor: Dr. Elika Bergelson,,,
"BA, Linguistics",8/1/12,5/14/16,University of Rochester,,Rochester,NY,US,    ,,,
